Titulo,Año de estreno - Año finalización,Generos
The Mandalorian,2019– ,"Action, Adventure, Fantasy"
Spiderhead,2022,"Action, Crime, Drama"
Llamas de venganza,1984,"Action, Horror, Sci-Fi"
Fear the Walking Dead,2015– ,"Drama, Horror, Sci-Fi"
El cuento de la criada,2017– ,"Drama, Sci-Fi, Thriller"
Star Trek: Discovery,2017– ,"Action, Adventure, Drama"
Moonfall,2022,"Action, Adventure, Sci-Fi"
Eternos,2021,"Action, Adventure, Fantasy"
Historia de horror americana,2011– ,"Drama, Horror, Sci-Fi"
Rick & Morty,2013– ,"Animation, Adventure, Comedy"
The Man Who Fell to Earth,2022– ,Sci-Fi
Avengers: Endgame,2019,"Action, Adventure, Drama"
Made for Love,2021– ,"Comedy, Drama, Sci-Fi"
El proyecto Adam,2022,"Action, Adventure, Comedy"
Lost,2004–2010,"Adventure, Drama, Fantasy"
The Stand,2020–2021,"Adventure, Drama, Fantasy"
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy"
Daredevil,2015–2018,"Action, Crime, Drama"
The Orville,2017– ,"Adventure, Comedy, Drama"
Loki,2021– ,"Action, Adventure, Fantasy"
Los expedientes secretos X,1993–2018,"Crime, Drama, Mystery"
What If...?,2021– ,"Animation, Action, Adventure"
El libro de Boba Fett,2021– ,"Action, Adventure, Sci-Fi"
El Escuadrón Suicida,2021,"Action, Adventure, Comedy"
Viaje a las estrellas: La nueva generación,1987–1994,"Action, Adventure, Sci-Fi"
Free Guy: Tomando El Control,2021,"Action, Adventure, Comedy"
Sonic. la película,2020,"Action, Adventure, Comedy"
Crimes of the Future,2022,"Drama, Horror, Sci-Fi"
Arcane,2021– ,"Animation, Action, Adventure"
Interestelar,2014,"Adventure, Drama, Sci-Fi"
Superman and Lois,2021– ,"Action, Adventure, Drama"
The Expanse,2015–2022,"Drama, Mystery, Sci-Fi"
Parque jurásico,1993,"Action, Adventure, Sci-Fi"
Star Wars: La guerra de los clones,2008–2020,"Animation, Action, Adventure"
Lightyear,2022,"Animation, Action, Adventure"
Peacemaker,2022– ,"Action, Adventure, Comedy"
Shang-Chi Y La Leyenda De Los Diez Anillos,2021,"Action, Adventure, Fantasy"
No miren arriba,2021,"Comedy, Drama, Sci-Fi"
Te amaré por siempre,2009,"Comedy, Drama, Fantasy"
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi"
Dark,2017–2020,"Crime, Drama, Mystery"
Inhumanos,2017,"Action, Adventure, Sci-Fi"
The Sandman,2022– ,"Drama, Fantasy, Horror"
El quinto elemento,1997,"Action, Adventure, Sci-Fi"
Los 100,2014–2020,"Drama, Mystery, Sci-Fi"
Blade Runner 2049,2017,"Action, Drama, Mystery"
Viaje a las estrellas,1966–1969,"Action, Adventure, Sci-Fi"
Hawkeye,2021,"Action, Adventure, Crime"
La Liga de la Justicia de Zack Snyder,2021,"Action, Adventure, Fantasy"
Venom: Carnage Liberado,2021,"Action, Adventure, Sci-Fi"
La guerra de las galaxias,1977,"Action, Adventure, Fantasy"
Los cazafantasmas,1984,"Action, Comedy, Fantasy"
From,2022– ,"Drama, Horror, Mystery"
Agents of S.H.I.E.L.D,2013–2020,"Action, Adventure, Drama"
Black Adam,2022,"Action, Fantasy, Sci-Fi"
For All Mankind,2019– ,"Drama, Sci-Fi"
El origen,2010,"Action, Adventure, Sci-Fi"
Viajeros en el tiempo,1989–1993,"Action, Adventure, Drama"
Thor: Ragnarok,2017,"Action, Adventure, Comedy"
Mad Max: Furia en el camino,2015,"Action, Adventure, Sci-Fi"
Dual,2022,"Sci-Fi, Thriller"
Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama"
Blade Runner,1982,"Action, Drama, Sci-Fi"
Gotham,2014–2019,"Action, Crime, Drama"
Spider-Man: de regreso a casa,2017,"Action, Adventure, Sci-Fi"
Smallville,2001–2017,"Action, Adventure, Drama"
Raised by Wolves,2020– ,"Drama, Fantasy, Sci-Fi"
Ex Machina,2014,"Drama, Sci-Fi, Thriller"
Amphibia,2019–2022,"Animation, Action, Adventure"
Ms. Marvel,2022– ,"Action, Adventure, Comedy"
Stargate SG-1,1997–2007,"Action, Adventure, Drama"
Fringe,2008–2013,"Drama, Mystery, Sci-Fi"
Titanes,I) (2018– ,"Action, Adventure, Crime"
Star wars: Episodio I - La amenaza fantasma,1999,"Action, Adventure, Fantasy"
Día de la independencia,1996,"Action, Adventure, Sci-Fi"
El hombre araña,2002,"Action, Adventure, Sci-Fi"
Manifest,2018– ,"Drama, Mystery, Sci-Fi"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
Invincible,2021– ,"Animation, Action, Adventure"
Tenet,2020,"Action, Adventure, Sci-Fi"
Upload,2020– ,"Comedy, Mystery, Sci-Fi"
Liga de la Justicia,2017,"Action, Adventure, Fantasy"
Arrow,2012–2020,"Action, Adventure, Crime"
Los juegos del hambre,2012,"Action, Adventure, Sci-Fi"
Snowpiercer,2020– ,"Action, Drama, Sci-Fi"
Resident Evil: Bienvenidos a Raccoon City,2021,"Action, Horror, Sci-Fi"
Caos: El Inicio,2021,"Action, Adventure, Fantasy"
Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
Fantastic Four,,"Action, Adventure, Sci-Fi"
Resident Evil,2022– ,"Action, Horror, Sci-Fi"
Black Widow,2021,"Action, Adventure, Sci-Fi"
Deadpool,2016,"Action, Adventure, Comedy"
"Alien, el 8° pasajero",1979,"Horror, Sci-Fi"
Viaje a las estrellas: Voyager,1995–2001,"Action, Adventure, Sci-Fi"
Matrix,1999,"Action, Sci-Fi"
Deadpool 2,2018,"Action, Adventure, Comedy"
¡Nop!,2022,"Horror, Sci-Fi"
Capitana Marvel,2019,"Action, Adventure, Sci-Fi"
Los 4 fantásticos,2015,"Action, Adventure, Sci-Fi"
"Hulk, el hombre increible",2008,"Action, Adventure, Sci-Fi"
Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
Star Wars: El ascenso de Skywalker,2019,"Action, Adventure, Fantasy"
Reminiscencia,2021,"Mystery, Romance, Sci-Fi"
Jurassic World: Mundo Jurásico,2015,"Action, Adventure, Sci-Fi"
Star Wars: Episodio II - El ataque de los clones,2002,"Action, Adventure, Fantasy"
El hombre invisible,I) (2020,"Drama, Horror, Mystery"
Estación Once,2021–2022,"Adventure, Drama, Fantasy"
Un Lugar En Silencio Parte II,2020,"Drama, Horror, Sci-Fi"
G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
Dune: Part Two,2023,"Action, Adventure, Drama"
Orphan Black,2013–2017,"Drama, Sci-Fi, Thriller"
DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
Volver al futuro,1985,"Adventure, Comedy, Sci-Fi"
Titane,2021,"Drama, Horror, Sci-Fi"
Resident Alien,2021– ,"Comedy, Drama, Mystery"
Guerra de los mundos,2005,"Action, Adventure, Sci-Fi"
Escuadrón Suicida,2016,"Action, Adventure, Fantasy"
Young Justice,2010– ,"Animation, Action, Adventure"
Iron Man: el hombre de hierro,2008,"Action, Adventure, Sci-Fi"
Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
Aniquilación,I) (2018,"Adventure, Drama, Horror"
Foundation,2021– ,"Drama, Sci-Fi"
Vigilados,2011–2016,"Action, Crime, Drama"
Han Solo: una historia de Star Wars,2018,"Action, Adventure, Sci-Fi"
"E.T., El Extra-Terrestre",1982,"Adventure, Family, Sci-Fi"
Pantera Negra,2018,"Action, Adventure, Sci-Fi"
Infinite,2021,"Action, Sci-Fi, Thriller"
See,2019– ,"Action, Drama, Sci-Fi"
The Avengers: Los Vengadores,2012,"Action, Adventure, Sci-Fi"
Dunas,1984,"Action, Adventure, Sci-Fi"
Star Wars: El despertar de la fuerza,2015,"Action, Adventure, Sci-Fi"
Star Trek,2009,"Action, Adventure, Sci-Fi"
Terminator 2: juicio final,1991,"Action, Sci-Fi"
Avenida Cloverfield 10,2016,"Action, Drama, Horror"
Rogue One: Una historia de Star Wars,2016,"Action, Adventure, Sci-Fi"
Idiocracy,2006,"Adventure, Comedy, Sci-Fi"
El precio del mañana,2011,"Action, Sci-Fi, Thriller"
La guerra de las galaxias: Episodio III - La venganza de los Sith,2005,"Action, Adventure, Fantasy"
El depredador,2018,"Action, Adventure, Sci-Fi"
Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller"
Avengers: Era de Ultrón,2015,"Action, Adventure, Sci-Fi"
El primer vengador,2011,"Action, Adventure, Sci-Fi"
Los 4 Fantásticos,I) (2005,"Action, Adventure, Fantasy"
El primer vengador: la guerra de los héroes,2016,"Action, Adventure, Sci-Fi"
Spider-Man: Lejos de casa,2019,"Action, Adventure, Sci-Fi"
Firefly,2002–2003,"Adventure, Drama, Sci-Fi"
Futurama,1999–2023,"Animation, Adventure, Comedy"
Jurassic World: El reino caído,2018,"Action, Adventure, Sci-Fi"
Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
Misión Rescate,2015,"Adventure, Drama, Sci-Fi"
"Alien 2, el regreso",1986,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
Falcon y el soldado del invierno,2021,"Action, Adventure, Drama"
Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
Ella,2013,"Drama, Romance, Sci-Fi"
Legion,2017–2019,"Action, Drama, Sci-Fi"
Prometeo,I) (2012,"Adventure, Mystery, Sci-Fi"
Ready Player One: comienza el juego,2018,"Action, Adventure, Sci-Fi"
Eterno resplandor de una mente sin recuerdos,2004,"Drama, Romance, Sci-Fi"
Megalodón,2018,"Action, Horror, Sci-Fi"
Supergirl,2015–2021,"Action, Adventure, Drama"
Un lugar en silencio,2018,"Drama, Horror, Sci-Fi"
Transformers,2007,"Action, Adventure, Sci-Fi"
X-Men,2000,"Action, Adventure, Sci-Fi"
El Sorprendente Hombre-Araña,2012,"Action, Adventure, Sci-Fi"
Doom Patrol,2019– ,"Action, Adventure, Comedy"
Star Wars: Episodio VIII: Los Últimos Jedi,2017,"Action, Adventure, Fantasy"
Naranja mecánica,1971,"Crime, Sci-Fi"
Donnie Darko,2001,"Drama, Mystery, Sci-Fi"
My Hero Academia,2016– ,"Animation, Action, Adventure"
El imperio contraataca,1980,"Action, Adventure, Fantasy"
X-Men: Apocalipsis,2016,"Action, Adventure, Sci-Fi"
Venom,2018,"Action, Adventure, Sci-Fi"
The Flash,2023,"Action, Adventure, Fantasy"
Altered Carbon,2018–2020,"Action, Drama, Sci-Fi"
Estamos muertos,2022– ,"Action, Drama, Fantasy"
"Watchmen, los vigilantes",2009,"Action, Drama, Mystery"
Love and Monsters,I) (2020,"Action, Adventure, Comedy"
El regreso del Jedi,1983,"Action, Adventure, Fantasy"
La Llegada,II) (2016,"Drama, Sci-Fi"
El mundo perdido: Jurassic Park,1997,"Action, Adventure, Sci-Fi"
La Brea,2021– ,"Drama, Mystery, Sci-Fi"
The Tomorrow War,2021,"Action, Adventure, Drama"
The Last of Us,2023– ,"Action, Adventure, Drama"
Star Trek sin límites,2016,"Action, Adventure, Sci-Fi"
2001: odisea del espacio,1968,"Adventure, Sci-Fi"
Depredador,1987,"Action, Adventure, Horror"
Terminator,1984,"Action, Sci-Fi"
Invasión,1997,"Action, Adventure, Sci-Fi"
Enterprise,2001–2005,"Action, Adventure, Drama"
La dimensión desconocida,1959–1964,"Drama, Fantasy, Horror"
Linterna Verde,2011,"Action, Adventure, Sci-Fi"
Cuestión de tiempo,I) (2013,"Comedy, Drama, Fantasy"
Secret Invasion,2022– ,"Action, Adventure, Drama"
El hombre en el castillo,2015–2019,"Drama, Sci-Fi, Thriller"
Mortal Kombat,2021,"Action, Adventure, Fantasy"
Bird box: a ciegas,2018,"Horror, Sci-Fi"
Perdidos en el espacio,2018–2021,"Adventure, Drama, Family"
"Galáctica, estrella de combate",2004–2009,"Action, Adventure, Drama"
Jessica Jones,2015–2019,"Action, Crime, Drama"
Batman v Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
Doctor Who,1963–1989,"Adventure, Drama, Family"
Minions: Nace un villano,2022,"Animation, Adventure, Comedy"
El hombre araña 3,2007,"Action, Adventure, Sci-Fi"
Divergente,2014,"Action, Adventure, Mystery"
Mujer Maravilla,2017,"Action, Adventure, Fantasy"
"Robocop, el defensor del futuro",1987,"Action, Crime, Sci-Fi"
Hora de Aventura,2010–2018,"Animation, Action, Adventure"
Sense8,2015–2018,"Drama, Mystery, Sci-Fi"
DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
Oblivion: El tiempo del olvido,I) (2013,"Action, Adventure, Sci-Fi"
Guerra mundial Z,2013,"Action, Adventure, Horror"
El hombre de acero,2013,"Action, Adventure, Sci-Fi"
Shin Ultraman,2022,"Action, Adventure, Drama"
Iron Man 3,2013,"Action, Adventure, Sci-Fi"
Resident Evil: El huésped maldito,2002,"Action, Horror, Sci-Fi"
La liga extraordinaria,2003,"Action, Adventure, Fantasy"
Al filo del mañana,2014,"Action, Adventure, Sci-Fi"
Exterminio,2002,"Drama, Horror, Sci-Fi"
Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
Pasajeros,I) (2016,"Drama, Romance, Sci-Fi"
Hulk,2003,"Action, Sci-Fi"
Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
Maze Runner - Correr o Morir,2014,"Action, Mystery, Sci-Fi"
El sorprendente Hombre Araña 2: la amenaza de Electro,2014,"Action, Adventure, Sci-Fi"
Heroes,II) (2006–2010,"Drama, Fantasy, Sci-Fi"
Kong: la Isla Calavera,2017,"Action, Adventure, Fantasy"
El ejército de los muertos,2021,"Action, Crime, Horror"
Titanes del Pacífico,2013,"Action, Adventure, Sci-Fi"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Armageddon,1998,"Action, Adventure, Sci-Fi"
Impacto profundo,1998,"Action, Drama, Sci-Fi"
Batman & Robin,1997,"Action, Sci-Fi"
Alias,2001–2006,"Action, Drama, Mystery"
X-Men: Primera generación,2011,"Action, Adventure, Sci-Fi"
El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
The Marvels,2023,"Action, Adventure, Fantasy"
Archivo 81,2022,"Drama, Horror, Mystery"
Asesino del futuro,2012,"Action, Drama, Sci-Fi"
Corrective Measures,2022,"Action, Sci-Fi, Thriller"
"La vigilante del futuro, Ghost in the Shell",2017,"Action, Crime, Drama"
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller"
Black Clover,2017–2021,"Animation, Action, Adventure"
La cosa del otro mundo,1982,"Horror, Mystery, Sci-Fi"
Bill & Ted salvando el universo,2020,"Adventure, Comedy, Music"
Watchmen,2019,"Crime, Drama, Mystery"
Stargate Atlantis,2004–2009,"Action, Adventure, Drama"
Bloodshot,2020,"Action, Adventure, Sci-Fi"
Andor,2022– ,"Action, Adventure, Drama"
Blade: Cazador de vampiros,1998,"Action, Horror, Sci-Fi"
Los nuevos mutantes,2020,"Action, Horror, Mystery"
The OA,2016–2019,"Drama, Fantasy, Mystery"
El hombre araña 2,2004,"Action, Adventure, Sci-Fi"
Los Nevers,2021– ,"Action, Drama, Fantasy"
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi"
S.O.S. Hay un loco suelto en el espacio,1987,"Adventure, Comedy, Sci-Fi"
Batman,1966–1968,"Action, Adventure, Comedy"
Harley Quinn,2019– ,"Animation, Action, Adventure"
V de Venganza,2005,"Action, Drama, Sci-Fi"
Star Trek: En la oscuridad,2013,"Action, Adventure, Sci-Fi"
Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
Batwoman,2019–2022,"Action, Adventure, Crime"
Iron Man 2,2010,"Action, Adventure, Sci-Fi"
Battleship,2012,"Action, Adventure, Sci-Fi"
Belle,2021,"Animation, Adventure, Drama"
Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
Mad Max,1979,"Action, Adventure, Sci-Fi"
El hoyo,2019,"Horror, Sci-Fi, Thriller"
La langosta,2015,"Comedy, Drama, Romance"
Amenaza en lo profundo,2020,"Action, Horror, Sci-Fi"
Ember: La ciudad perdida,2008,"Adventure, Family, Fantasy"
"Roswell, New Mexico",2019–2022,"Drama, Romance, Sci-Fi"
Superman: el film,1978,"Action, Adventure, Sci-Fi"
Terminator: destino oculto,2019,"Action, Adventure, Sci-Fi"
Devs,2020,"Drama, Mystery, Sci-Fi"
Hombres de Negro Internacional,2019,"Action, Adventure, Comedy"
Entre la vida y la muerte,2022,"Drama, Romance, Sci-Fi"
Gattaca: Experimento genético,1997,"Drama, Sci-Fi, Thriller"
TRON: El legado,2010,"Action, Adventure, Sci-Fi"
Cowboy Bebop,2021,"Action, Adventure, Comedy"
Sobre-Natural,2007,"Horror, Sci-Fi, Thriller"
Stargirl,2020– ,"Action, Adventure, Crime"
El expreso del miedo,2013,"Action, Sci-Fi, Thriller"
Rebel Moon,,"Adventure, Drama, Fantasy"
Hotel Transylvania 4: Transformanía,2022,"Animation, Adventure, Comedy"
Niños del hombre,2006,"Action, Drama, Sci-Fi"
Dragon Ball Z,1989–2003,"Animation, Action, Adventure"
Cangrejo Negro,2022,"Action, Adventure, Drama"
Los juegos del hambre: En llamas,2013,"Action, Adventure, Drama"
The Bad Batch,2016,"Action, Horror, Mystery"
Ad Astra: hacia las estrellas,2019,"Adventure, Drama, Mystery"
Yakamoz S-245,2022– ,"Action, Adventure, Drama"
Naomi,2022,"Action, Adventure, Drama"
Eureka,2006–2012,"Adventure, Comedy, Drama"
Mundo acuático,1995,"Action, Adventure, Sci-Fi"
Event Horizon: la nave de la muerte,1997,"Horror, Sci-Fi, Thriller"
Escape Room 2: Reto Mortal,2021,"Action, Adventure, Horror"
La magnífica aventura de Bill y Ted,1989,"Adventure, Comedy, Music"
Minority report: Sentencia previa,2002,"Action, Crime, Mystery"
Star Wars: The Bad Batch,2021– ,"Animation, Action, Adventure"
Castle Rock,2018–2019,"Drama, Fantasy, Horror"
Parque jurásico III,2001,"Action, Adventure, Sci-Fi"
Batman vs. Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
The Boys: Diabolical,2022– ,"Animation, Short, Action"
Sábado 14,1981,"Comedy, Fantasy, Horror"
Finch,2021,"Adventure, Drama, Sci-Fi"
Echo,2023– ,"Action, Adventure, Crime"
Las Tortugas Ninja,1990,"Action, Adventure, Comedy"
La familia Mitchell vs. las máquinas,2021,"Animation, Adventure, Comedy"
El efecto mariposa,2004,"Drama, Sci-Fi, Thriller"
Viaje a las estrellas VI: La tierra desconocida,1991,"Action, Adventure, Sci-Fi"
Matrix recargado,2003,"Action, Sci-Fi"
Viajeros,2016–2018,"Drama, Mystery, Sci-Fi"
El planeta de los simios,2001,"Action, Adventure, Sci-Fi"
One Punch Man,2015–2019,"Animation, Action, Comedy"
El día después de mañana,2004,"Action, Adventure, Sci-Fi"
La guerra de los mundos,2019– ,"Drama, Mystery, Sci-Fi"
Grandes héroes,2014,"Animation, Action, Adventure"
Predestinación,I) (2014,"Action, Drama, Sci-Fi"
12 monos,1995,"Mystery, Sci-Fi, Thriller"
Invasión,2021– ,"Drama, Fantasy, Sci-Fi"
Power Rangers,1993–1996,"Action, Adventure, Family"
La leyenda de Korra,2012–2014,"Animation, Action, Adventure"
Catwoman: Cazado,2022,"Animation, Action, Crime"
WALL·E,2008,"Animation, Adventure, Family"
La Quinta Ola,2016,"Action, Adventure, Sci-Fi"
Maniac,2018,"Comedy, Drama, Sci-Fi"
Titanes del Pacífico: la insurrección,2018,"Action, Adventure, Sci-Fi"
Nunca me abandones,2010,"Drama, Romance, Sci-Fi"
Lucy,I) (2014,"Action, Sci-Fi, Thriller"
Glass,2019,"Drama, Horror, Sci-Fi"
La mosca,1986,"Drama, Horror, Sci-Fi"
Babilonia 5,1993–1998,"Action, Adventure, Drama"
X-Men orígenes: Wolverine,2009,"Action, Sci-Fi"
Sobreviven,1988,"Action, Horror, Sci-Fi"
Last Survivors,2021,"Sci-Fi, Thriller"
Alien: la resurrección,1997,"Action, Horror, Sci-Fi"
Terminator: Génesis,2015,"Action, Adventure, Sci-Fi"
Contra/Cara,1997,"Action, Crime, Sci-Fi"
Dredd,2012,"Action, Crime, Sci-Fi"
Trascender,I) (2014,"Action, Drama, Sci-Fi"
Pixeles,2015,"Action, Comedy, Fantasy"
Un Show Más,2009–2017,"Animation, Action, Adventure"
Agent Carter,2015–2016,"Action, Adventure, Sci-Fi"
Life: vida inteligente,I) (2017,"Horror, Sci-Fi, Thriller"
La célula,2000,"Crime, Horror, Sci-Fi"
Sunshine: Alerta solar,2007,"Sci-Fi, Thriller"
11.22.63,2016,"Drama, Mystery, Romance"
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy"
El vengador del futuro,1990,"Action, Adventure, Sci-Fi"
Valerian y la ciudad de los mil planetas,2017,"Action, Adventure, Fantasy"
El demoledor,1993,"Action, Sci-Fi, Thriller"
Vivarium,2019,"Horror, Mystery, Sci-Fi"
En la Luna,2009,"Drama, Mystery, Sci-Fi"
The Munsters,,"Comedy, Family, Fantasy"
Untitled Super Mario Project,2023,"Animation, Adventure, Comedy"
Warehouse 13,2009–2014,"Drama, Mystery, Sci-Fi"
Misfits,2009–2013,"Comedy, Drama, Fantasy"
Godzilla II: el rey de los monstruos,2019,"Action, Adventure, Fantasy"
Pequeña gran vida,2017,"Drama, Fantasy, Sci-Fi"
Upgrade: máquina asesina,2018,"Action, Sci-Fi, Thriller"
Guía del viajero intergaláctico,2005,"Adventure, Comedy, Sci-Fi"
Señales,2002,"Drama, Mystery, Sci-Fi"
Bajo la piel,I) (2013,"Drama, Horror, Mystery"
Ojos de fuego: reavivando la llama,2002,"Action, Horror, Sci-Fi"
Furiosa,2024,"Action, Adventure, Sci-Fi"
Vanilla Sky,2001,"Fantasy, Mystery, Romance"
¡Marcianos al ataque!,1996,"Comedy, Sci-Fi"
Escape room: sin salida,I) (2019,"Action, Adventure, Horror"
Godzilla,2014,"Action, Adventure, Sci-Fi"
Stargate: la puerta del tiempo,1994,"Action, Adventure, Sci-Fi"
El Día del Fin del Mundo,2020,"Action, Drama, Sci-Fi"
Jumper,2008,"Action, Adventure, Sci-Fi"
El dador de recuerdos,2014,"Drama, Romance, Sci-Fi"
Sueños de Marte,2022,"Comedy, Romance, Sci-Fi"
Trabajo incógnito,2021– ,"Animation, Comedy, Fantasy"
Cazafantasmas,2016,"Action, Comedy, Fantasy"
Mi villano favorito,2010,"Animation, Adventure, Comedy"
Sector 9,2009,"Action, Sci-Fi, Thriller"
